# qx_over_a qy_over_b Re_chi Im_chi
# num_k=200, num_q=100, n_orb=8, kT=0.001, mu=0.06, omega=0.0, eta=0.002, n_processes=80
-8.8546471110670044e-01 6.0328231465958670e-02 1.0718928430609774e+01 3.0378066515176636e-05
-8.8546471110670044e-01 7.0382936710285046e-02 1.0718242805156333e+01 3.0442405555079449e-05
-8.8546471110670044e-01 8.0437641954611491e-02 1.0717461557037167e+01 3.0516742359511259e-05
-8.8546471110670044e-01 9.0492347198937936e-02 1.0716588748554107e+01 3.0601115778456477e-05
-8.8546471110670044e-01 1.0054705244326438e-01 1.0715628879925605e+01 3.0695567221080432e-05
-8.8546471110670044e-01 1.1060175768759083e-01 1.0714586854246710e+01 3.0800139580560553e-05
-8.8546471110670044e-01 1.2065646293191720e-01 1.0713467940349876e+01 3.0914875978802308e-05
-8.8546471110670044e-01 1.3071116817624365e-01 1.0712277734074860e+01 3.1039818313721240e-05
-8.8546471110670044e-01 1.4076587342057009e-01 1.0711022118441507e+01 3.1175005590160434e-05
-8.8546471110670044e-01 1.5082057866489645e-01 1.0709707223195242e+01 3.1320472014103860e-05
-8.8546471110670044e-01 1.6087528390922298e-01 1.0708339384162645e+01 3.1476244828270946e-05
-8.8546471110670044e-01 1.7092998915354934e-01 1.0706925102816847e+01 3.1642341865849526e-05
-8.8546471110670044e-01 1.8098469439787587e-01 1.0705471006410596e+01 3.1818768797575432e-05
-8.8546471110670044e-01 1.9103939964220223e-01 1.0703983808989646e+01 3.2005516045813438e-05
-8.8546471110670044e-01 2.0109410488652862e-01 1.0702470273554917e+01 3.2202555337461503e-05
-8.8546471110670044e-01 2.1114881013085512e-01 1.0700937175595211e+01 3.2409835865363098e-05
-8.8546471110670044e-01 2.2120351537518151e-01 1.0699391268169091e+01 3.2627280024984250e-05
-8.8546471110670044e-01 2.3125822061950801e-01 1.0697839248670869e+01 3.2854778689435436e-05
-8.8546471110670044e-01 2.4131292586383440e-01 1.0696287727375585e+01 3.3092185980597006e-05
-8.8546471110670044e-01 2.5136763110816079e-01 1.0694743197818847e+01 3.3339313486971503e-05
-8.8546471110670044e-01 2.6142233635248729e-01 1.0693212009031203e+01 3.3595923868709751e-05
-8.8546471110670044e-01 2.7147704159681368e-01 1.0691700339612133e+01 3.3861723776330881e-05
-8.8546471110670044e-01 2.8153174684114018e-01 1.0690214173595535e+01 3.4136355990365692e-05
-8.8546471110670044e-01 2.9158645208546657e-01 1.0688759278027250e+01 3.4419390662779785e-05
-8.8546471110670044e-01 3.0164115732979291e-01 1.0687341182142562e+01 3.4710315505466613e-05
-8.8546471110670044e-01 3.1169586257411946e-01 1.0685965158000272e+01 3.5008524723464861e-05
-8.8546471110670044e-01 3.2175056781844580e-01 1.0684636202395266e+01 3.5313306427415911e-05
-8.8546471110670044e-01 3.3180527306277235e-01 1.0683359019834967e+01 3.5623828177624672e-05
-8.8546471110670044e-01 3.4185997830709869e-01 1.0682138006324358e+01 3.5939120206008900e-05
-8.8546471110670044e-01 3.5191468355142524e-01 1.0680977233658181e+01 3.6258055729092792e-05
-8.8546471110670044e-01 3.6196938879575158e-01 1.0679880433867718e+01 3.6579327602120009e-05
-8.8546471110670044e-01 3.7202409404007797e-01 1.0678850983415840e+01 3.6901420375240800e-05
-8.8546471110670044e-01 3.8207879928440447e-01 1.0677891886681982e+01 3.7222576613140587e-05
-8.8546471110670044e-01 3.9213350452873086e-01 1.0677005758248249e+01 3.7540756174209000e-05
-8.8546471110670044e-01 4.0218820977305736e-01 1.0676194803524158e+01 3.7853587118526280e-05
-8.8546471110670044e-01 4.1224291501738375e-01 1.0675460797412535e+01 3.8158307253507484e-05
-8.8546471110670044e-01 4.2229762026171014e-01 1.0674805061185696e+01 3.8451696500710068e-05
-8.8546471110670044e-01 4.3235232550603664e-01 1.0674228438827432e+01 3.8730003196171365e-05
-8.8546471110670044e-01 4.4240703075036303e-01 1.0673731276325258e+01 3.8988873677210940e-05
-8.8546471110670044e-01 4.5246173599468953e-01 1.0673313401137436e+01 3.9223282220558582e-05
-8.8546471110670044e-01 4.6251644123901592e-01 1.0672973228019844e+01 3.9425437113023013e-05
-8.8546471110670044e-01 4.7257114648334225e-01 1.0672682607627522e+01 3.9526334430138456e-05
-8.8546471110670044e-01 4.8262585172766881e-01 1.0672318264098967e+01 3.9252132880005389e-05
-8.8546471110670044e-01 4.9268055697199514e-01 1.0672349044398018e+01 4.0062621994303078e-05
-8.8546471110670044e-01 5.0273526221632159e-01 1.0672515122956208e+01 4.0863635544958733e-05
